Analysis by Brandon Lampe, performed on: 2016/07/04 16:17:5
Time (sec),Time (day),Confining Pressure (MPa),Pore Pressure (MPa),Fractional Density,Volume Strain,Volume Strain Rate (1/sec),Mean Particle Size (mm),Added Water (percent by weight),Temperature (C)
3.000000e+01,3.472222e-04,1.984852e+01,0.000000e+00,9.069638e-01,3.042385e-02,8.240909e-05,2.340000e+00,0.000000e+00,1.620605e+02
4.000000e+01,4.629630e-04,1.984852e+01,0.000000e+00,9.076508e-01,3.118112e-02,7.079072e-05,2.340000e+00,0.000000e+00,1.620605e+02
5.000000e+01,5.787037e-04,1.984852e+01,0.000000e+00,9.082488e-01,3.183966e-02,6.205901e-05,2.340000e+00,0.000000e+00,1.620605e+02
6.000000e+01,6.944444e-04,1.984852e+01,0.000000e+00,9.087781e-01,3.242230e-02,5.525329e-05,2.340000e+00,0.000000e+00,1.620605e+02
7.000000e+01,8.101852e-04,1.984852e+01,0.000000e+00,9.092530e-01,3.294473e-02,4.979779e-05,2.340000e+00,0.000000e+00,1.620605e+02
8.000000e+01,9.259259e-04,1.984852e+01,0.000000e+00,9.096837e-01,3.341825e-02,4.532598e-05,2.340000e+00,0.000000e+00,1.620605e+02
9.000000e+01,1.041667e-03,1.984852e+01,0.000000e+00,9.100776e-01,3.385125e-02,4.159327e-05,2.340000e+00,0.000000e+00,1.620605e+02
1.000000e+02,1.157407e-03,1.984852e+01,0.000000e+00,9.104407e-01,3.425012e-02,3.843008e-05,2.340000e+00,0.000000e+00,1.620605e+02
1.100000e+02,1.273148e-03,1.984852e+01,0.000000e+00,9.107774e-01,3.461985e-02,3.571511e-05,2.340000e+00,0.000000e+00,1.620605e+02
1.200000e+02,1.388889e-03,1.984852e+01,0.000000e+00,9.110913e-01,3.496442e-02,3.335927e-05,2.340000e+00,0.000000e+00,1.620605e+02
1.300000e+02,1.504630e-03,1.984852e+01,0.000000e+00,9.113852e-01,3.528704e-02,3.129563e-05,2.340000e+00,0.000000e+00,1.620605e+02
1.400000e+02,1.620370e-03,1.984852e+01,0.000000e+00,9.116617e-01,3.559033e-02,2.947295e-05,2.340000e+00,0.000000e+00,1.620605e+02
1.500000e+02,1.736111e-03,1.984852e+01,0.000000e+00,9.119226e-01,3.587650e-02,2.785131e-05,2.340000e+00,0.000000e+00,1.620605e+02
1.600000e+02,1.851852e-03,1.984852e+01,0.000000e+00,9.121697e-01,3.614736e-02,2.639916e-05,2.340000e+00,0.000000e+00,1.620605e+02
1.700000e+02,1.967593e-03,1.984852e+01,0.000000e+00,9.124042e-01,3.640448e-02,2.509122e-05,2.340000e+00,0.000000e+00,1.620605e+02
1.800000e+02,2.083333e-03,1.984852e+01,0.000000e+00,9.126275e-01,3.664918e-02,2.390703e-05,2.340000e+00,0.000000e+00,1.620605e+02
