ID,Date (GMT),Time (24hr),Duration (hrs),Step Int (hrs),ConfP (psi),ActP (psi),Load (lbs),SmallLVDT (in),LargeLVDT (in),LVTemp (C),UVTemp (C),PistonTemp (C),LCTemp (C),AmbTemp (C),DilaFBK (in),ISCO Volume (V),DnStream Flow (SCCM),DwnStream Temp (C)
32,2014-11-24T19:23:22.000,12:23:22 PM,108.736,96.6164,2899.3,236.815,26867.1,0.00013531,0.325055,252,248.3,188.5,27.2,0,2.94434,6.07971,0.00915527,
33,2014-11-24T19:33:22.000,12:33:22 PM,108.866,96.7461,2888.84,236.815,26757.8,5.53578E-005,0.325055,253.5,241.9,188.7,27.3,0,2.97089,6.07971,0.00915527,
34,2014-11-24T19:43:22.000,12:43:22 PM,108.996,96.8761,2908.22,236.815,26881.1,-1.84476E-005,0.325055,250.7,248.9,188.7,27.2,0,2.90527,6.07971,0.00915527,
35,2014-11-24T19:53:22.000,12:53:22 PM,109.126,97.0061,2894.68,237.739,26835.3,3.69027E-005,0.325238,250.8,248.2,188.6,27.2,0,2.95288,6.07971,0.00915527,
36,2014-11-24T20:03:22.000,1:03:22 PM,109.256,97.1358,2911.92,239.893,26944.6,0,0.325055,248.3,250.2,188.5,27.2,0,2.98309,6.07971,0.00915527,
37,2014-11-24T20:13:22.000,1:13:22 PM,109.386,97.2658,2910.99,239.893,27000.9,1.84551E-005,0.325055,248.5,249.8,188.5,27.2,0,2.98309,6.07971,0.00915527,
38,2014-11-24T20:23:22.000,1:23:22 PM,109.516,97.3958,2890.68,236.815,26757.8,3.69027E-005,0.325055,250.3,247.3,188.3,27.3,0,2.98126,6.07971,0.00915527,
39,2014-11-24T20:33:22.000,1:33:22 PM,109.646,97.5258,2911.92,240.816,27011.5,3.69027E-005,0.325238,249.4,246.9,188.3,27.3,0,2.9776,6.07971,0.00915527,
40,2014-11-24T20:43:22.000,1:43:22 PM,109.775,97.6556,2904.22,238.662,26891.7,-3.69027E-005,0.325055,249.2,247.3,188.4,27.3,0,2.98798,6.07971,0.00915527,
41,2014-11-24T20:53:22.000,1:53:22 PM,109.905,97.7856,2899.3,239.893,26902.3,1.84551E-005,0.325055,249.3,243.6,188.4,27.3,0,2.98798,6.07971,0.00915527,
42,2014-11-24T21:03:22.000,2:03:22 PM,110.035,97.9153,2908.22,238.662,26912.9,0.000116862,0.325055,251.3,249.8,188.5,27.2,0,2.98309,6.07971,0.00915527,
43,2014-11-24T21:13:22.000,2:13:22 PM,110.165,98.0453,2904.22,238.662,26867.1,-5.53504E-005,0.325055,248.2,249.9,188.4,27.2,0,2.97455,6.07971,0.00915527,
44,2014-11-24T21:23:22.000,2:23:22 PM,110.295,98.1753,2899.3,238.662,26934,3.69027E-005,0.325055,252.7,247,188.3,27.2,0,3.00507,6.08032,0.00915527,
45,2014-11-24T21:33:22.000,2:33:22 PM,110.425,98.305,2895.61,235.892,26680.3,0.000153765,0.325238,253.4,247,188.3,27.2,0,3.00507,6.07971,0.00915527,
46,2014-11-24T21:43:22.000,2:43:22 PM,110.555,98.4353,2911.92,239.893,26912.9,5.53578E-005,0.325238,247.9,249.4,188.3,27.3,0,2.93182,6.07971,0.00915527,
47,2014-11-24T21:53:22.000,2:53:22 PM,110.685,98.5653,2904.22,238.662,26891.7,0.000172213,0.325055,252.7,248,188.5,27.5,0,2.99286,6.07971,0.00915527,
48,2014-11-24T22:03:22.000,3:03:22 PM,110.815,98.6956,2889.76,237.739,26867.1,0.000116862,0.325238,252.3,245,188.4,27.3,0,2.99286,6.07971,0.00915527,
49,2014-11-24T22:13:22.000,3:13:22 PM,110.945,98.8253,2902.38,235.892,26814.2,3.69027E-005,0.325238,252.9,249.6,188.5,27.3,0,2.96906,6.07971,0.00915527,
50,2014-11-24T22:23:22.000,3:23:22 PM,111.075,98.9556,2893.76,237.739,26845.9,1.84551E-005,0.325238,253.3,249.4,188.6,27.3,0,2.98218,6.07971,0.00915527,
51,2014-11-24T22:33:22.000,3:33:22 PM,111.205,99.0856,2888.84,237.739,26803.6,3.69027E-005,0.325055,249.6,245.3,188.7,27.3,0,3.01544,6.07971,0.00915527,
52,2014-11-24T22:43:22.000,3:43:22 PM,111.336,99.2158,2910.07,239.893,26990.4,0.000209115,0.325055,247.5,247.6,188.7,27.2,0,2.98309,6.07971,0.00915527,
53,2014-11-24T22:53:22.000,3:53:22 PM,111.466,99.3464,2898.38,236.815,26779,-1.84476E-005,0.325238,251.4,247.4,188.7,27.4,0,3.0069,6.07971,0.00915527,
54,2014-11-24T23:03:22.000,4:03:22 PM,111.596,99.4761,2888.84,234.969,26705,-5.53504E-005,0.325238,253.4,245,188.5,27.2,0,3.0069,6.0788,0.00915527,
55,2014-11-24T23:13:22.000,4:13:22 PM,111.726,99.6058,2909.15,235.892,26803.6,-9.83998E-005,0.325238,250.2,249.6,188.6,27.3,0,2.98523,6.07971,0.00915527,
56,2014-11-24T23:23:22.000,4:23:22 PM,111.856,99.7358,2894.68,234.969,26659.2,-5.53504E-005,0.325238,250.1,249.4,188.5,27.2,0,3.01544,6.07971,0.00915527,
57,2014-11-24T23:33:22.000,4:33:22 PM,111.985,99.8656,2906.99,238.662,27011.5,-0.000116855,0.325238,247.8,249.5,188.5,27.2,0,2.98218,6.07971,0.00915527,
58,2014-11-24T23:43:22.000,4:43:22 PM,112.115,99.9956,2891.91,238.662,26824.8,-9.83998E-005,0.325238,251.1,247.4,188.5,27.2,0,2.98889,6.07971,0.00915527,
59,2014-11-24T23:53:22.000,4:53:22 PM,112.246,100.126,2905.15,235.892,26824.8,-7.99522E-005,0.325238,251.4,249.2,188.5,27.1,0,2.99072,6.07971,0.00915527,
60,2014-11-25T00:03:22.000,5:03:22 PM,112.376,100.256,2903.3,238.662,26912.9,-9.83998E-005,0.325421,249.3,248.7,188.3,27.2,0,2.98218,6.07971,0.00915527,
61,2014-11-25T00:13:22.000,5:13:22 PM,112.506,100.386,2892.84,236.815,26705,-5.53504E-005,0.325238,249.6,244.3,188.4,27.3,0,3.00781,6.07971,0.00915527,
62,2014-11-25T00:23:22.000,5:23:22 PM,112.636,100.516,2906.07,238.662,26902.3,-0.00019066,0.325238,249.5,250,188.4,27.1,0,2.95654,6.07971,0.00915527,
63,2014-11-25T00:33:22.000,5:33:22 PM,112.765,100.646,2902.38,237.739,26891.7,-9.83998E-005,0.325055,251.3,250.2,188.5,27.2,0,2.98431,6.07971,0.00915527,
64,2014-11-25T00:43:22.000,5:43:22 PM,112.895,100.775,2902.38,237.739,26934,-0.000153758,0.325238,249.9,249.5,188.5,27.2,0,2.99744,6.07971,0.00915527,
65,2014-11-25T00:53:22.000,5:53:22 PM,113.025,100.906,2911.92,240.816,27022.1,-0.000135303,0.325055,250.1,249,188.4,27.3,0,2.99652,6.07971,0.00915527,
66,2014-11-25T01:03:22.000,6:03:22 PM,113.155,101.036,2897.45,236.815,26768.4,-0.000116855,0.325238,251.4,246.7,188.6,27.5,0,3.00415,6.07971,0.00915527,
67,2014-11-25T01:13:22.000,6:13:22 PM,113.285,101.165,2903.3,238.662,26912.9,-5.53504E-005,0.325055,251.9,247.5,188.5,27.5,0,2.90619,6.07971,0.00915527,
68,2014-11-25T01:23:22.000,6:23:22 PM,113.415,101.295,2911.92,237.739,26912.9,-9.83998E-005,0.325055,251.6,249.6,188.7,27.3,0,2.9776,6.07971,0.00915527,
