Analysis by Brandon Lampe, performed on: 2016/06/30 11:23:56
Time (sec),Time (day),Confining Pressure (MPa),Pore Pressure (MPa),Fractional Density,Volume Strain,Volume Strain Rate (1/sec),Mean Particle Size (mm),Added Water (percent by weight),Temperature (C)
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.333897e-01,-0.000000e+00,5.505012e-06,2.030000e+00,0.000000e+00,1.751308e+02
1.000000e+01,1.157407e-04,7.142857e-01,0.000000e+00,8.334356e-01,5.505012e-05,9.899996e-06,2.030000e+00,0.000000e+00,1.751308e+02
2.000000e+01,2.314815e-04,1.428571e+00,0.000000e+00,8.335547e-01,1.979999e-04,2.294328e-05,2.030000e+00,0.000000e+00,1.751308e+02
3.000000e+01,3.472222e-04,2.142857e+00,0.000000e+00,8.338181e-01,5.139157e-04,4.619622e-05,2.030000e+00,0.000000e+00,1.751308e+02
4.000000e+01,4.629630e-04,2.857143e+00,0.000000e+00,8.343252e-01,1.121924e-03,8.236786e-05,2.030000e+00,0.000000e+00,1.751308e+02
5.000000e+01,5.787037e-04,3.571429e+00,0.000000e+00,8.351928e-01,2.161273e-03,1.322157e-04,2.030000e+00,0.000000e+00,1.751308e+02
6.000000e+01,6.944444e-04,4.285714e+00,0.000000e+00,8.365344e-01,3.766239e-03,1.938250e-04,2.030000e+00,0.000000e+00,1.751308e+02
7.000000e+01,8.101852e-04,5.000000e+00,0.000000e+00,8.384367e-01,6.037774e-03,2.627536e-04,2.030000e+00,0.000000e+00,1.751308e+02
8.000000e+01,9.259259e-04,5.714286e+00,0.000000e+00,8.409420e-01,9.021310e-03,3.329694e-04,2.030000e+00,0.000000e+00,1.751308e+02
9.000000e+01,1.041667e-03,6.428571e+00,0.000000e+00,8.440389e-01,1.269716e-02,3.981717e-04,2.030000e+00,0.000000e+00,1.751308e+02
1.000000e+02,1.157407e-03,7.142857e+00,0.000000e+00,8.476655e-01,1.698474e-02,4.530100e-04,2.030000e+00,0.000000e+00,1.751308e+02
1.100000e+02,1.273148e-03,7.857143e+00,0.000000e+00,8.517208e-01,2.175736e-02,4.938679e-04,2.030000e+00,0.000000e+00,1.751308e+02
1.200000e+02,1.388889e-03,8.571429e+00,0.000000e+00,8.560797e-01,2.686210e-02,5.191139e-04,2.030000e+00,0.000000e+00,1.751308e+02
1.300000e+02,1.504630e-03,9.285714e+00,0.000000e+00,8.606096e-01,3.213964e-02,5.289121e-04,2.030000e+00,0.000000e+00,1.751308e+02
1.400000e+02,1.620370e-03,1.000000e+01,0.000000e+00,8.651836e-01,3.744034e-02,5.247746e-04,2.030000e+00,0.000000e+00,1.751308e+02
1.500000e+02,1.736111e-03,1.071429e+01,0.000000e+00,8.696897e-01,4.263513e-02,5.090352e-04,2.030000e+00,0.000000e+00,1.751308e+02
1.600000e+02,1.851852e-03,1.142857e+01,0.000000e+00,8.740367e-01,4.762105e-02,4.843715e-04,2.030000e+00,0.000000e+00,1.751308e+02
1.700000e+02,1.967593e-03,1.214286e+01,0.000000e+00,8.781557e-01,5.232256e-02,4.534404e-04,2.030000e+00,0.000000e+00,1.751308e+02
1.800000e+02,2.083333e-03,1.285714e+01,0.000000e+00,8.819993e-01,5.668986e-02,4.186406e-04,2.030000e+00,0.000000e+00,1.751308e+02
1.900000e+02,2.199074e-03,1.357143e+01,0.000000e+00,8.855392e-01,6.069537e-02,3.819888e-04,2.030000e+00,0.000000e+00,1.751308e+02
2.000000e+02,2.314815e-03,1.428571e+01,0.000000e+00,8.887633e-01,6.432963e-02,3.450798e-04,2.030000e+00,0.000000e+00,1.751308e+02
2.100000e+02,2.430556e-03,1.500000e+01,0.000000e+00,8.916720e-01,6.759697e-02,3.091026e-04,2.030000e+00,0.000000e+00,1.751308e+02
2.200000e+02,2.546296e-03,1.571429e+01,0.000000e+00,8.942747e-01,7.051168e-02,2.748875e-04,2.030000e+00,0.000000e+00,1.751308e+02
2.300000e+02,2.662037e-03,1.642857e+01,0.000000e+00,8.965877e-01,7.309472e-02,2.429669e-04,2.030000e+00,0.000000e+00,1.751308e+02
2.400000e+02,2.777778e-03,1.714286e+01,0.000000e+00,8.986309e-01,7.537102e-02,2.136377e-04,2.030000e+00,0.000000e+00,1.751308e+02
2.500000e+02,2.893519e-03,1.785714e+01,0.000000e+00,9.004268e-01,7.736747e-02,1.870191e-04,2.030000e+00,0.000000e+00,1.751308e+02
2.600000e+02,3.009259e-03,1.857143e+01,0.000000e+00,9.019984e-01,7.911140e-02,1.631017e-04,2.030000e+00,0.000000e+00,1.751308e+02
2.700000e+02,3.125000e-03,1.928571e+01,0.000000e+00,9.033688e-01,8.062951e-02,1.417880e-04,2.030000e+00,0.000000e+00,1.751308e+02
