Analysis by Brandon Lampe, performed on: 2016/06/30 11:23:56
Time (sec),Time (day),Confining Pressure (MPa),Pore Pressure (MPa),Fractional Density,Volume Strain,Volume Strain Rate (1/sec),Mean Particle Size (mm),Added Water (percent by weight),Temperature (C)
1.000000e+01,1.157407e-04,2.000000e+01,0.000000e+00,9.042153e-01,8.156617e-02,1.330025e-04,2.030000e+00,0.000000e+00,1.751308e+02
2.000000e+01,2.314815e-04,2.000000e+01,0.000000e+00,9.052590e-01,8.271968e-02,1.044208e-04,2.030000e+00,0.000000e+00,1.751308e+02
3.000000e+01,3.472222e-04,2.000000e+01,0.000000e+00,9.061057e-01,8.365459e-02,8.605124e-05,2.030000e+00,0.000000e+00,1.751308e+02
4.000000e+01,4.629630e-04,2.000000e+01,0.000000e+00,9.068183e-01,8.444070e-02,7.321783e-05,2.030000e+00,0.000000e+00,1.751308e+02
5.000000e+01,5.787037e-04,2.000000e+01,0.000000e+00,9.074335e-01,8.511895e-02,6.373389e-05,2.030000e+00,0.000000e+00,1.751308e+02
6.000000e+01,6.944444e-04,2.000000e+01,0.000000e+00,9.079749e-01,8.571538e-02,5.643457e-05,2.030000e+00,0.000000e+00,1.751308e+02
7.000000e+01,8.101852e-04,2.000000e+01,0.000000e+00,9.084583e-01,8.624764e-02,5.064066e-05,2.030000e+00,0.000000e+00,1.751308e+02
8.000000e+01,9.259259e-04,2.000000e+01,0.000000e+00,9.088950e-01,8.672819e-02,4.592878e-05,2.030000e+00,0.000000e+00,1.751308e+02
9.000000e+01,1.041667e-03,2.000000e+01,0.000000e+00,9.092932e-01,8.716621e-02,4.202105e-05,2.030000e+00,0.000000e+00,1.751308e+02
1.000000e+02,1.157407e-03,2.000000e+01,0.000000e+00,9.096592e-01,8.756862e-02,3.872742e-05,2.030000e+00,0.000000e+00,1.751308e+02
1.100000e+02,1.273148e-03,2.000000e+01,0.000000e+00,9.099978e-01,8.794076e-02,3.591343e-05,2.030000e+00,0.000000e+00,1.751308e+02
1.200000e+02,1.388889e-03,2.000000e+01,0.000000e+00,9.103128e-01,8.828688e-02,3.348127e-05,2.030000e+00,0.000000e+00,1.751308e+02
1.300000e+02,1.504630e-03,2.000000e+01,0.000000e+00,9.106073e-01,8.861039e-02,3.135808e-05,2.030000e+00,0.000000e+00,1.751308e+02
1.400000e+02,1.620370e-03,2.000000e+01,0.000000e+00,9.108839e-01,8.891405e-02,2.948842e-05,2.030000e+00,0.000000e+00,1.751308e+02
1.500000e+02,1.736111e-03,2.000000e+01,0.000000e+00,9.111445e-01,8.920016e-02,2.782940e-05,2.030000e+00,0.000000e+00,1.751308e+02
1.600000e+02,1.851852e-03,2.000000e+01,0.000000e+00,9.113910e-01,8.947063e-02,2.634729e-05,2.030000e+00,0.000000e+00,1.751308e+02
1.700000e+02,1.967593e-03,2.000000e+01,0.000000e+00,9.116248e-01,8.972710e-02,2.501520e-05,2.030000e+00,0.000000e+00,1.751308e+02
1.800000e+02,2.083333e-03,2.000000e+01,0.000000e+00,9.118471e-01,8.997094e-02,2.381143e-05,2.030000e+00,0.000000e+00,1.751308e+02
1.900000e+02,2.199074e-03,2.000000e+01,0.000000e+00,9.120590e-01,9.020333e-02,2.271829e-05,2.030000e+00,0.000000e+00,1.751308e+02
